subject,trial_type,exp_group,comfort,run_into,navigate,vision
1,baseline,color,3,1,3,4
1,cane,color,4,4,4,5
1,AR,color,5,5,6,6
2,baseline,control,6,4,3,3
2,cane,control,5,3,3,3
2,AR,control,6,5,4,4
3,baseline,control,3,7,7,5
3,cane,control,1,1,3,5
3,AR,control,7,6,7,7
4,baseline,control,2,1,3,2
4,cane,control,4,3,3,2
4,AR,control,2,1,1,2
5,baseline,luminance,3,3,2,2
5,cane,luminance,5,6,4,5
5,AR,luminance,6,5,5,5
6,baseline,control,5,5,4,4
6,cane,control,6,6,5,4
6,AR,control,6,6,5,5
7,baseline,luminance,4,3,3,5
7,cane,luminance,4,4,4,4
7,AR,luminance,4,4,5,5
8,baseline,luminance,5,2,4,3
8,cane,luminance,5,4,5,3
8,AR,luminance,5,3,4,5
9,baseline,color,3,2,3,3
9,cane,color,5,5,3,4
9,AR,color,2,2,3,2
10,baseline,luminance,2,2,1,1
10,cane,luminance,2,2,3,1
10,AR,luminance,3,4,3,3
11,baseline,color,2,3,1,3
11,cane,color,3,3,2,2
11,AR,color,3,4,3,5
12,baseline,color,7,3,6,7
12,cane,color,7,6,5,3
12,AR,color,7,3,3,5
13,baseline,luminance,5,5,3,2
13,cane,luminance,5,5,4,2
13,AR,luminance,4,4,2,4
14,baseline,color,7,1,3,5
14,cane,color,7,6,5,1
14,AR,color,7,2,2,4
15,baseline,color,3,3,4,3
15,cane,color,4,3,3,1
15,AR,color,5,4,4,6
16,baseline,control,3,3,4,5
16,cane,control,6,5,4,3
16,AR,control,5,5,4,6
17,baseline,control,5,2,6,1
17,cane,control,6,5,5,1
17,AR,control,6,4,5,1
18,baseline,color,2,2,1,1
18,cane,color,3,3,2,2
18,AR,color,2,2,2,2
19,baseline,control,3,1,1,4
19,cane,control,3,3,2,3
19,AR,control,4,1,3,4
20,baseline,luminance,4,2,5,2
20,cane,luminance,6,6,6,3
20,AR,luminance,5,2,4,4
21,baseline,luminance,7,1,4,1
21,cane,luminance,7,7,7,1
21,AR,luminance,7,6,6,5
22,baseline,color,4,2,3,4
22,cane,color,6,5,4,3
22,AR,color,6,4,5,7
23,baseline,luminance,2,1,1,1
23,cane,luminance,2,3,2,1
23,AR,luminance,5,5,4,5
24,baseline,control,5,5,6,6
24,cane,control,6,5,6,5
24,AR,control,5,5,5,5
25,baseline,control,4,2,5,3
25,cane,control,6,4,5,4
25,AR,control,6,5,5,5
26,baseline,luminance,2,1,2,2
26,cane,luminance,1,1,1,2
26,AR,luminance,3,3,2,4
27,baseline,color,4,4,3,3
27,cane,color,4,3,4,2
27,AR,color,4,5,4,3
28,baseline,control,2,1,1,1
28,cane,control,3,4,3,1
28,AR,control,2,2,3,1
29,baseline,control,2,2,2,2
29,cane,control,2,3,2,2
29,AR,control,3,3,3,4
30,baseline,color,2,1,2,1
30,cane,color,4,6,5,2
30,AR,color,3,3,3,5
31,baseline,luminance,3,2,3,3
31,cane,luminance,3,6,4,3
31,AR,luminance,5,3,4,4
32,baseline,color,3,1,1,3
32,cane,color,5,6,5,2
32,AR,color,5,5,5,7
33,baseline,luminance,5,3,7,2
33,cane,luminance,5,6,6,7
33,AR,luminance,6,4,4,3
34,baseline,color,5,4,3,4
34,cane,color,5,5,4,2
34,AR,color,4,5,4,4
35,baseline,luminance,7,6,6,5
35,cane,luminance,6,7,7,7
35,AR,luminance,4,4,4,4
36,baseline,control,1,2,1,1
36,cane,control,3,3,2,1
36,AR,control,2,3,2,3
37,baseline,color,3,3,3,1
37,cane,color,5,5,4,1
37,AR,color,2,2,3,4
38,baseline,control,5,3,3,5
38,cane,control,7,6,6,5
38,AR,control,6,4,4,6
39,baseline,luminance,3,1,1,2
39,cane,luminance,4,4,2,1
39,AR,luminance,3,2,2,3
40,baseline,color,2,3,2,5
40,cane,color,2,4,3,5
40,AR,color,3,3,2,4
41,baseline,luminance,2,3,2,2
41,cane,luminance,6,3,4,3
41,AR,luminance,4,3,4,4
42,baseline,control,2,1,1,3
42,cane,control,2,4,2,3
42,AR,control,2,1,1,3
43,baseline,color,7,4,4,1
43,cane,color,1,3,2,1
43,AR,color,7,6,6,7
44,baseline,luminance,5,2,2,5
44,cane,luminance,6,5,5,6
44,AR,luminance,5,4,2,2
45,baseline,control,6,2,2,1
45,cane,control,4,4,3,5
45,AR,control,2,3,2,4
46,baseline,color,3,1,3,1
46,cane,color,4,3,3,4
46,AR,color,2,3,2,1
47,baseline,luminance,3,5,3,3
47,cane,luminance,4,5,3,2
47,AR,luminance,3,2,2,2
48,baseline,control,5,3,4,2
48,cane,control,6,6,5,4
48,AR,control,6,5,5,4
